PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20130201;0;6;3116;ReprEvadiu;1;7;0;0;0;0;0;0.417522465;0.582477535;0;0;1301;1815;0;1;0;1;300;0;0;1;22
20130201;12;16;29228;Sucesso;7;37;1149;0;332;0;0.088682086;0.478787464;0.43253045;0;2592;13994;12642;0;8;0;46;11086;2;2949;30;187
20130201;63;32;110423;Sucesso;13;169;9712;10;2315;0.009454552;0.037745759;0.345860917;0.606938772;1044;4168;38191;67020;0;26;0;122;21130;3;9822;95;1109
20130201;22;21;35269;Sucesso;12;59;624;3;1163;0;0.163372934;0.331764439;0.504862627;0;5762;11701;17806;0;5;0;37;8532;2;2316;46;250
20130201;0;11;15902;ReprEvadiu;3;72;0;0;300;0;0.038800151;0.083197082;0.878002767;0;617;1323;13962;0;5;0;20;3785;1;2468;17;177
20130201;0;8;14814;ReprEvadiu;3;35;0;0;0;0.120831646;0.208518969;0.281760497;0.388888889;1790;3089;4174;5761;0;0;0;28;6104;0;0;3;142
20130201;8;19;39784;Sucesso;21;57;434;0;425;0.070882767;0;0.382917756;0.546199477;2820;0;15234;21730;0;6;0;60;11524;3;3649;41;357
20130201;1;23;31112;ReprEvadiu;8;73;0;0;0;0.166495243;0;0.180573412;0.652931345;5180;0;5618;20314;0;6;0;64;6604;1;1276;12;389
20130201;0;3;2390;ReprEvadiu;0;0;0;0;0;0;0;0.125523013;0.874476987;0;0;300;2090;0;0;0;10;1777;0;47;0;14
20130201;0;9;21767;ReprEvadiu;9;32;0;13;3576;0;0.020443791;0.039233702;0.940322507;0;445;854;20468;0;0;0;21;5532;1;807;26;237
20130201;27;25;40457;Sucesso;15;63;9965;34;2714;0;0;0.339693996;0.660306004;0;0;13743;26714;0;6;0;42;5101;3;3656;93;264
20130201;2;6;18005;ReprEvadiu;2;21;0;0;0;0.108136629;0.027048042;0.206331575;0.658483755;1947;487;3715;11856;0;2;0;25;3635;1;3169;20;137
20130201;31;27;70667;Sucesso;10;70;6824;0;1290;0;0.333040882;0.217527276;0.449431842;0;23535;15372;31760;0;6;0;93;19512;2;5347;40;461
20130201;2;6;9573;ReprEvadiu;1;13;0;0;24;0;0;0.116577875;0.883422125;0;0;1116;8457;0;1;0;14;3956;2;1633;22;59
20130201;19;25;49644;Sucesso;49;96;5907;0;534;0;0.034404963;0.236624768;0.728970268;0;1708;11747;36189;0;5;0;58;9342;3;4699;121;433
20130201;0;1;312;Sucesso;0;0;0;0;0;0;0;0;1;0;0;0;312;0;0;0;0;0;0;0;0;3
20130201;31;21;39952;Sucesso;22;61;3642;1;246;0;0.267521025;0.515343412;0.217135563;0;10688;20589;8675;0;11;0;25;5503;2;5376;44;317
20130202;31;25;76936;Sucesso;15;126;9756;26;10271;0;0.083004055;0.299859624;0.617136321;0;6386;23070;47480;0;10;0;88;15890;3;10767;109;545
20130202;17;18;38963;Sucesso;18;60;7132;14;2405;0.028385905;0.15676411;0.025254729;0.789595257;1106;6108;984;30765;0;4;0;29;6194;2;4992;51;257
20130202;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20130202;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20130202;6;8;13743;ReprEvadiu;6;15;2142;0;0;0;0.389289093;0.221494579;0.389216328;0;5350;3044;5349;0;4;0;17;5619;1;1969;18;61
20130202;1;14;6400;ReprEvadiu;1;11;0;0;0;0;0.44765625;0.24640625;0.3059375;0;2865;1577;1958;0;4;0;0;0;0;42;3;81
20130202;6;13;20295;Sucesso;4;18;672;0;0;0;0.220793299;0.334023158;0.445183543;0;4481;6779;9035;0;3;0;34;8678;1;533;13;127
20130202;0;2;389;ReprEvadiu;0;0;0;0;0;0;0.771208226;0;0.228791774;0;300;0;89;0;0;0;1;0;0;0;0;3
20130202;5;9;30371;Sucesso;5;27;734;0;123;0;0;0.011721708;0.988278292;0;0;356;30015;0;7;0;55;7287;2;2789;23;186
20130202;3;8;11988;ReprEvadiu;0;8;0;0;0;0;0.412662663;0.396062729;0.191274608;0;4947;4748;2293;0;2;0;42;7235;1;925;6;93
20130202;11;16;15483;ReprEvadiu;5;33;1737;0;61;0.097332558;0.241619841;0.213653685;0.447393916;1507;3741;3308;6927;0;3;0;29;3238;0;361;5;202
20130202;0;4;2787;ReprEvadiu;2;6;0;0;0;0.113024758;0;0.182633656;0.704341586;315;0;509;1963;0;2;0;12;1099;0;50;2;27
20130202;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20130202;5;6;6487;ReprEvadiu;2;13;3246;0;0;0;0.532449514;0.046246339;0.421304147;0;3454;300;2733;0;0;0;4;445;0;15;3;54
20130202;0;7;11873;ReprEvadiu;2;7;0;17;2565;0;0.039838289;0.085824981;0.87433673;0;473;1019;10381;0;4;0;15;2873;1;634;26;67
20130202;0;5;1263;ReprEvadiu;0;2;0;0;0;0;0;0.252573238;0.747426762;0;0;319;944;0;0;0;1;300;0;0;0;9
20130202;3;13;15690;Sucesso;2;16;0;0;0;0;0.152772467;0.096430848;0.750796686;0;2397;1513;11780;0;1;0;21;5411;1;1350;21;96
20130202;3;14;13759;Sucesso;7;20;1422;0;0;0;0;0.811178138;0.188821862;0;0;11161;2598;0;4;0;3;616;2;2825;32;69
20130202;5;13;12310;Sucesso;2;20;28;0;74;0.075873274;0.292445167;0.122177092;0.509504468;934;3600;1504;6272;0;1;0;4;714;1;1150;12;107
20130202;88;38;119820;Sucesso;28;227;17688;5;1708;0.002653981;0.170964781;0.37913537;0.447245869;318;20485;45428;53589;0;25;0;79;19397;3;5547;68;907
20130202;17;30;44272;Sucesso;23;134;7016;0;0;0;0.32944073;0.546349837;0.124209433;0;14585;24188;5499;0;5;0;29;2198;3;2434;61;491
