PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20130102;10;21;21126;Sucesso;1;17;929;0;1088;0;0.175281643;0.260768721;0.563949636;0;3703;5509;11914;0;23;0;56;7270;0;0;5;197
20130102;0;4;1892;ReprEvadiu;0;1;0;0;0;0;0.199260042;0.38372093;0.417019027;0;377;726;789;0;2;0;6;438;0;0;0;31
20130102;24;37;67349;Sucesso;23;164;6224;0;3074;0.008953362;0.170574173;0.406494529;0.413977936;603;11488;27377;27881;0;15;0;81;5945;0;0;29;730
20130102;4;22;17523;Sucesso;0;3;0;9;1671;0;0.085316441;0.076071449;0.83861211;0;1495;1333;14695;0;16;0;30;4238;0;0;11;127
20130102;5;26;40995;ReprEvadiu;0;18;0;14;3157;0;0.031003781;0.537041103;0.431955116;0;1271;22016;17708;0;16;0;52;12122;0;0;20;258
20130102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20130102;14;18;29316;ReprEvadiu;0;14;16;0;476;0.022069859;0.070712239;0.101855642;0.80536226;647;2073;2986;23610;0;39;0;94;7345;0;38;2;314
20130102;0;11;14242;ReprEvadiu;0;1;0;0;59;0;0.365538548;0.271380424;0.363081028;0;5206;3865;5171;0;16;0;61;4857;0;0;4;146
20130102;3;13;13451;ReprEvadiu;0;11;0;0;1378;0;0;0.41929968;0.58070032;0;0;5640;7811;0;19;0;24;3254;0;0;0;115
20130102;32;23;59668;Sucesso;1;61;4786;0;494;0.08491989;0.138784608;0.271250922;0.50504458;5067;8281;16185;30135;0;53;0;158;22818;0;0;7;599
20130102;23;26;42120;ReprEvadiu;0;43;33;0;824;0.191785375;0.015479582;0.195773979;0.596961064;8078;652;8246;25144;0;45;0;42;7361;0;0;4;389
20130102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20130102;6;13;24146;Sucesso;0;7;38;0;2;0.028534747;0;0.650418289;0.321046964;689;0;15705;7752;0;9;0;72;12931;0;0;2;150
20130102;0;3;600;ReprEvadiu;0;0;0;0;0;0;0;1;0;0;0;600;0;0;0;0;0;0;0;0;0;3
20130102;9;25;19586;Sucesso;4;11;150;34;4760;0;0.096344328;0.212090269;0.691565404;0;1887;4154;13545;0;15;0;22;3398;0;0;50;107
